City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,altai,46.3722,96.2583,-18.73,74,17,0.98,MN,1707321079
188,contamana,-7.3333,-75.0167,28.1,70,87,1.3,PE,1707321080
189,damasak,13.0977,12.4952,27.08,15,93,6.08,NG,1707321082
190,coto de caza,33.6042,-117.587,9.4,94,58,0.89,US,1707320825
191,pattoki,31.0167,73.85,11.12,40,0,2.45,PK,1707321084
192,selkirk,50.1436,-96.8845,1.2,94,95,2.24,CA,1707320914
193,farsan,32.2569,50.561,2.02,85,5,2.64,IR,1707321086
194,afaahiti,-17.75,-149.2833,27.93,88,100,12.36,PF,1707321087
195,oranjemund,-28.55,16.4333,21.59,66,0,6.55,NA,1707321088
196,ilulissat,69.2167,-51.1,-3.99,74,100,7.72,GL,1707321089
197,knyaze-volkonskoye,48.4642,135.4567,-11.81,96,100,2.68,RU,1707321090
198,khanty-mansiysk,61.0042,69.0019,-3.94,80,0,6.0,RU,1707321091
199,ust'-ilimsk,58.0006,102.6619,-11.76,98,94,1.6,RU,1707321092
200,taoudenni,22.6783,-3.9836,27.25,7,5,4.93,ML,1707321093
201,saipan,15.1355,145.701,24.39,78,20,4.12,MP,1707320559
202,banda aceh,5.5577,95.3222,25.99,86,21,3.95,ID,1707321094
203,kapuskasing,49.4169,-82.4331,1.05,93,100,2.06,CA,1707320593
204,codrington,-38.2667,141.9667,11.27,88,12,3.15,AU,1707320590
205,santa cruz,-17.8,-63.1667,31.03,62,20,7.2,BO,1707321097
206,kavaratti,10.5669,72.642,28.18,74,39,3.68,IN,1707321098
207,noosa heads,-26.3833,153.15,23.95,83,10,7.29,AU,1707321099
208,haiku-pauwela,20.9219,-156.3051,21.69,79,0,7.2,US,1707320708
209,jinchang,38.4953,102.1739,-7.79,79,40,1.51,CN,1707321102
210,gambiran satu,-8.3939,114.1464,23.84,95,87,1.08,ID,1707321103
211,lebu,-37.6167,-73.65,17.59,70,100,7.79,CL,1707320747
212,tual,-5.6667,132.75,26.89,86,100,9.92,ID,1707321104
213,rockingham,42.9668,-71.0995,4.41,63,84,0.89,US,1707321105
214,port lincoln,-34.7333,135.8667,16.3,77,79,5.85,AU,1707320540
215,tazacorte,28.629,-17.9293,21.54,64,0,2.06,ES,1707321107
216,berber,18.0216,33.983,22.37,17,94,4.11,SD,1707321108
217,pendleton,45.6721,-118.7886,3.77,90,100,2.06,US,1707321084
218,klyuchi,52.2667,79.1667,-2.47,73,100,7.67,RU,1707321109
219,tsiombe,-25.3,45.4833,22.42,95,73,2.49,MG,1707320672
220,egilsstadir,65.2653,-14.3948,-4.05,86,75,3.6,IS,1707320758
221,keflavik,64.0049,-22.5624,-1.05,64,20,2.06,IS,1707321112
222,san pedro pochutla,15.7333,-96.4667,28.07,53,19,1.35,MX,1707321113
223,houghton,47.1219,-88.569,6.49,75,100,0.0,US,1707321113
224,planaltina,-15.4528,-47.6142,25.68,71,100,1.18,BR,1707321114
225,beroroha,-21.6667,45.1667,24.79,86,42,1.67,MG,1707321115
226,bilibino,68.0546,166.4372,-34.24,100,100,0.32,RU,1707321116
227,colonia menno,-22.3667,-59.8167,35.12,40,100,3.08,PY,1707321117
228,nova sintra,14.8667,-24.7167,21.37,72,0,4.75,CV,1707321118
229,kalmunai,7.4167,81.8167,25.45,72,45,3.72,LK,1707321119
230,khandyga,62.6667,135.6,-43.89,100,66,0.87,RU,1707321119
231,fonte boa,-2.4959,-66.2662,29.86,72,91,1.26,BR,1707321120
232,takoradi,4.8845,-1.7554,29.46,58,8,4.76,GH,1707321121
233,georgetown,5.4112,100.3354,27.96,93,40,3.6,MY,1707321002
234,polyarnyy,69.1989,33.4478,-23.23,100,84,3.03,RU,1707320562
235,keelung,25.1283,121.7419,14.21,93,100,6.1,TW,1707321124
236,constantia,44.1833,28.65,14.38,63,96,5.15,RO,1707320645
237,broken hill,-31.95,141.4333,19.34,28,0,5.87,AU,1707321126
238,pacific grove,36.6177,-121.9166,10.24,81,100,3.13,US,1707320843
239,tromso,69.6496,18.957,-6.99,79,20,1.54,NO,1707320622
240,san andres,12.5847,-81.7006,28.01,65,40,7.2,CO,1707321128
241,metlili chaamba,32.2667,3.6333,21.52,15,0,5.14,DZ,1707321129
242,hamilton,39.1834,-84.5333,9.95,61,40,2.57,US,1707320940
243,busko-zdroj,50.4708,20.7188,3.94,95,100,6.96,PL,1707321131
244,guerrero negro,27.9769,-114.0611,15.78,59,2,5.64,MX,1707321132
245,floro,61.5996,5.0328,-1.02,74,40,5.14,NO,1707321134
246,dalandzadgad,43.5708,104.425,-14.55,77,23,1.23,MN,1707321135
247,sorong,-0.8833,131.25,27.15,79,100,1.96,ID,1707320711
248,prachuap khiri khan,12.2167,99.75,21.7,73,0,1.8,TH,1707321137
249,langsa,4.4683,97.9683,24.38,91,25,1.59,ID,1707321139
250,aral,40.5156,81.2636,-0.76,60,100,4.05,CN,1707321140
251,mount pearl,47.5166,-52.7813,-0.38,85,75,9.26,CA,1707320642
252,susuman,62.7833,148.1667,-33.34,100,98,0.89,RU,1707320600
253,talcahuano,-36.7167,-73.1167,24.82,61,20,3.6,CL,1707321143
254,pyrgos,37.6751,21.441,15.82,81,100,2.0,GR,1707321144
255,praia,14.9215,-23.5087,29.3,51,0,8.23,CV,1707321145
256,leava,-14.3,-178.1667,28.1,78,91,2.48,WF,1707321147
257,vorkuta,67.5,64.0,-10.71,91,100,3.43,RU,1707320867
258,olmos,-5.9847,-79.7453,29.39,53,6,2.4,PE,1707321150
259,petauke,-14.2426,31.3253,21.4,88,87,3.36,ZM,1707321152
260,longyearbyen,78.2186,15.6401,-7.09,73,75,6.17,SJ,1707321154
261,vilyuysk,63.7553,121.6247,-36.67,100,94,1.34,RU,1707321155
262,margaret river,-33.95,115.0667,17.99,58,0,3.86,AU,1707321156
263,laguna,38.421,-121.4238,8.43,86,0,4.63,US,1707321158
264,christiana,-27.914,25.1611,32.92,19,62,10.27,ZA,1707321158
265,katsuren-haebaru,26.3369,127.8719,17.43,92,100,5.14,JP,1707321159
266,port hedland,-20.3167,118.5667,28.03,57,83,2.06,AU,1707321161
267,fort st. john,56.2499,-120.8529,-9.06,73,100,3.6,CA,1707320380
268,puerto ayora,-0.7393,-90.3518,30.98,78,74,4.92,EC,1707321163
269,macia,-25.0269,33.0989,33.17,46,6,3.8,MZ,1707321164
270,hermanus,-34.4187,19.2345,23.22,71,1,7.87,ZA,1707321165
271,katabu,-4.9333,122.5167,25.2,89,97,1.67,ID,1707321166
272,kruisfontein,-34.0033,24.7314,24.38,56,2,8.5,ZA,1707321167
273,kasempa,-13.4584,25.8338,22.14,88,60,1.91,ZM,1707321168
274,toungo,8.1167,12.05,33.98,11,83,3.36,NG,1707321169
275,taroa,8.7058,171.2275,27.26,76,88,10.57,MH,1707321170
276,cabo san lucas,22.8909,-109.9124,21.95,77,40,8.23,MX,1707320713
277,badger,64.8,-147.5333,-13.44,77,20,0.0,US,1707320617
278,east london,-33.0153,27.9116,22.52,68,0,8.23,ZA,1707321173
279,tazovsky,67.4667,78.7,-18.15,100,100,3.87,RU,1707320857
280,san luis,-33.295,-66.3356,36.01,25,15,2.73,AR,1707321032
281,fortuna,40.5982,-124.1573,6.48,96,100,5.66,US,1707320641
282,borborema,-21.6197,-49.0736,30.54,47,100,3.23,BR,1707321177
283,hithadhoo,-0.6,73.0833,28.15,75,16,3.83,MV,1707320812
284,maksatikha,57.797,35.8825,-13.9,95,100,5.15,RU,1707321180
285,nova vicosa,-17.8919,-39.3719,30.27,62,83,4.9,BR,1707321181
286,acapulco de juarez,16.8634,-99.8901,26.9,74,0,2.57,MX,1707321182
287,brisas de zicatela,15.8369,-97.0419,26.29,78,0,4.12,MX,1707321183
288,la ronge,55.1001,-105.2842,-11.86,85,100,2.57,CA,1707320701
289,helena valley west central,46.6629,-112.0604,1.04,97,100,3.6,US,1707321185
290,khuzdar,27.7384,66.6434,12.83,48,37,2.35,PK,1707321186
291,palikir - national government center,6.9248,158.1611,27.41,78,40,3.09,FM,1707321187
292,salacgriva,57.7536,24.3581,-4.87,73,48,3.86,LV,1707321188
293,cill airne,52.05,-9.5167,7.03,70,0,5.14,IE,1707320830
294,bhimunipatnam,17.8833,83.4333,25.73,82,16,3.06,IN,1707321191
295,minab,27.1467,57.0801,19.88,55,0,1.85,IR,1707321192
296,porto novo,6.4965,2.6036,32.9,24,10,4.42,BJ,1707321133
297,northam,51.0333,-4.2167,7.36,87,100,1.88,GB,1707321194
298,sechura,-5.5569,-80.8222,29.18,59,13,4.0,PE,1707321195
299,geraldton,-28.7667,114.6,22.23,56,0,2.06,AU,1707320633
300,kirakira,-10.4544,161.9205,27.59,81,100,4.84,SB,1707321197
301,grand baie,-20.0182,57.5802,28.26,82,98,0.89,MU,1707321198
302,hadibu,12.65,54.0333,25.35,70,85,5.47,YE,1707321199
303,funafuti,-8.5243,179.1942,28.0,94,100,10.29,TV,1707321200
304,freetown,8.484,-13.2299,29.84,74,40,2.06,SL,1707320695
305,la sarre,48.8002,-79.1996,0.45,100,99,2.13,CA,1707321060
306,vernon,50.2581,-119.2691,2.39,95,100,0.0,CA,1707321203
307,porirua,-41.1333,174.85,18.25,86,96,5.34,NZ,1707321205
308,yarmouth,41.7057,-70.2286,4.08,84,75,7.15,US,1707320856
309,kanniyakumari,8.0833,77.5667,26.57,71,34,3.37,IN,1707321207
310,dhidhdhoo,6.8833,73.1,27.6,71,4,3.48,MV,1707320793
311,tamiahua,21.2667,-97.45,20.22,68,0,3.27,MX,1707321209
312,buka,40.8108,69.1986,8.44,64,100,3.76,UZ,1707321210
313,divnogorsk,55.9594,92.3619,-13.73,95,58,1.46,RU,1707321211
314,bengkulu,-3.8004,102.2655,24.92,89,100,1.47,ID,1707321212
315,wahpeton,46.2652,-96.6059,5.4,100,0,5.14,US,1707321214
316,barra de santo antonio,-9.4047,-35.5072,33.6,65,84,5.77,BR,1707321215
317,labrador city,52.9463,-66.9114,-4.9,58,100,0.0,CA,1707321216
318,camana,-16.6228,-72.7111,26.66,76,2,3.56,PE,1707320763
319,nizhneudinsk,54.9076,99.0276,-16.95,97,59,1.19,RU,1707321218
320,glace bay,46.1969,-59.957,-0.51,78,75,3.13,CA,1707320717
321,chui,-33.6971,-53.4616,29.64,43,36,3.19,UY,1707321220
322,lowestoft,52.4752,1.7516,7.35,75,100,1.27,GB,1707321221
323,kearney,40.6995,-99.0815,9.5,81,0,9.77,US,1707320701
324,alto araguaia,-17.3147,-53.2153,29.84,55,96,3.18,BR,1707321223
325,ouro sogui,15.6,-13.3167,36.01,15,0,2.06,SN,1707321224
326,amga,60.8953,131.9608,-34.06,100,90,0.48,RU,1707321225
327,danao,10.5208,124.0272,26.03,80,100,3.02,PH,1707321227
328,sos'va,59.1766,61.8558,-2.75,98,100,2.24,RU,1707321228
329,berdigestyakh,62.0989,126.6992,-33.7,100,97,1.15,RU,1707320751
330,masuguru,-11.3667,38.4167,26.84,88,32,1.64,TZ,1707321230
331,jarna,48.212,12.0567,11.55,65,99,7.97,DE,1707321231
332,barakani,-12.1356,44.4317,28.44,81,96,4.56,KM,1707321232
333,guiren,33.6697,118.1889,-3.14,95,87,1.62,CN,1707321233
334,lompoc,34.6391,-120.4579,10.43,82,100,7.72,US,1707321234
335,fortaleza,-3.7227,-38.5247,33.07,99,75,8.75,BR,1707321159
336,calama,-22.4667,-68.9333,22.27,43,0,4.12,CL,1707321236
337,ginir,7.1333,40.7,19.97,39,22,3.7,ET,1707321237
338,nagqu,31.5,92.0,-8.19,24,3,2.56,CN,1707321238
339,homer,59.6425,-151.5483,0.93,91,90,3.58,US,1707321239
340,puerto penasco,31.3167,-113.5333,14.95,72,75,3.58,MX,1707321240
341,sudislavl',57.8817,41.7083,-16.06,96,100,3.47,RU,1707321241
342,narra,9.3167,118.4,24.63,89,62,1.8,PH,1707321242
343,al bayda',32.7627,21.7551,11.77,68,86,4.51,LY,1707321243
344,souillac,-20.5167,57.5167,28.21,78,75,4.63,MU,1707321244
345,lodja,-3.4833,23.4333,22.65,92,86,0.92,CD,1707321245
346,pyhajarvi,67.0701,27.2176,-21.39,100,100,1.35,FI,1707320713
347,acarau,-2.8856,-40.12,31.86,58,50,7.7,BR,1707321247
348,porbandar,21.6422,69.6093,23.68,56,69,4.64,IN,1707321248
349,lerwick,60.1545,-1.1494,2.0,61,61,9.07,GB,1707320659
350,kasserine,35.1676,8.8365,16.13,27,0,6.01,TN,1707321250
351,nar'yan-mar,67.6713,53.087,-27.16,100,91,1.79,RU,1707321251
352,north haven,41.3909,-72.8595,5.45,61,0,3.6,US,1707321030
353,shevchenko,48.5,35.0,9.55,63,86,6.96,UA,1707321255
354,paradip garh,20.3167,86.6167,23.06,88,0,2.48,IN,1707321256
355,revda,56.801,59.9303,-4.85,96,100,2.26,RU,1707321258
356,sisimiut,66.9395,-53.6735,-11.67,94,100,7.42,GL,1707321259
